"hubGene","genes","cor"
"Ha412HOChr09g0427971","Ha412HOChr09g0427971",1
"Ha412HOChr09g0427971","Ha412HOChr09g0413841",0.951
"Ha412HOChr09g0427971","Ha412HOChr11g0483071",0.944
"Ha412HOChr09g0427971","Ha412HOChr17g0823641",0.936
"Ha412HOChr09g0427971","Ha412HOChr01g0015511",0.935
"Ha412HOChr09g0427971","Ha412HOChr11g0492091",0.93
"Ha412HOChr09g0427971","Ha412HOChr04g0199881",0.929
"Ha412HOChr09g0427971","Ha412HOChr03g0111521",0.926
"Ha412HOChr09g0427971","Ha412HOChr07g0308701",0.926
"Ha412HOChr09g0427971","Ha412HOChr12g0553761",0.926
"Ha412HOChr09g0427971","Ha412HOChr13g0631621",0.921
"Ha412HOChr09g0427971","Ha412HOChr12g0553081",0.917
"Ha412HOChr09g0427971","Ha412HOChr07g0296471",0.915
"Ha412HOChr09g0427971","Ha412HOChr15g0699491",0.915
"Ha412HOChr09g0427971","Ha412HOChr10g0474001",0.914
"Ha412HOChr09g0427971","Ha412HOChr16g0787001",0.914
"Ha412HOChr09g0427971","Ha412HOChr02g0060951",0.911
"Ha412HOChr09g0427971","Ha412HOChr04g0199981",0.91
"Ha412HOChr09g0427971","Ha412HOChr13g0620571",0.906
"Ha412HOChr09g0427971","Ha412HOChr01g0016161",0.905
"Ha412HOChr09g0427971","Ha412HOChr13g0581991",0.904
"Ha412HOChr09g0427971","Ha412HOChr10g0443461",0.903
"Ha412HOChr09g0427971","Ha412HOChr15g0713691",0.903
"Ha412HOChr09g0427971","Ha412HOChr06g0261831",0.902
"Ha412HOChr09g0427971","Ha412HOChr12g0552191",0.902
"Ha412HOChr09g0427971","Ha412HOChr09g0400601",0.9
"Ha412HOChr09g0427971","Ha412HOChr11g0533431",0.9
"Ha412HOChr09g0427971","Ha412HOChr04g0194781",0.898
"Ha412HOChr09g0427971","Ha412HOChr06g0282291",0.898
"Ha412HOChr09g0427971","Ha412HOChr12g0560221",0.897
"Ha412HOChr11g0489761","Ha412HOChr11g0489761",1
"Ha412HOChr11g0489761","Ha412HOChr02g0049051",0.853
"Ha412HOChr11g0489761","Ha412HOChr06g0248781",0.836
"Ha412HOChr11g0489761","Ha412HOChr02g0066611",0.834
"Ha412HOChr11g0489761","Ha412HOChr04g0177221",0.82
"Ha412HOChr11g0489761","Ha412HOChr17g0827071",0.819
"Ha412HOChr11g0489761","Ha412HOChr10g0461111",0.816
"Ha412HOChr11g0489761","Ha412HOChr04g0181061",0.814
"Ha412HOChr11g0489761","Ha412HOChr13g0612121",0.814
"Ha412HOChr11g0489761","Ha412HOChr15g0717661",0.811
"Ha412HOChr06g0271081","Ha412HOChr06g0271081",1
"Ha412HOChr06g0271081","Ha412HOChr16g0797291",0.959
"Ha412HOChr06g0271081","Ha412HOChr13g0614111",0.956
"Ha412HOChr06g0271081","Ha412HOChr01g0031551",0.948
"Ha412HOChr06g0271081","Ha412HOChr07g0308771",0.948
"Ha412HOChr06g0271081","Ha412HOChr09g0403511",0.946
"Ha412HOChr06g0271081","Ha412HOChr08g0369911",0.944
"Ha412HOChr06g0271081","Ha412HOChr08g0365581",0.943
"Ha412HOChr06g0271081","Ha412HOChr09g0429591",0.943
"Ha412HOChr06g0271081","Ha412HOChr03g0136901",0.938
"Ha412HOChr06g0271081","Ha412HOChr07g0307521",0.937
"Ha412HOChr06g0271081","Ha412HOChr13g0590291",0.937
"Ha412HOChr06g0271081","Ha412HOChr15g0735751",0.937
"Ha412HOChr06g0271081","Ha412HOChr08g0348651",0.936
"Ha412HOChr06g0271081","Ha412HOChr14g0637471",0.936
"Ha412HOChr06g0271081","Ha412HOChr10g0466401",0.935
"Ha412HOChr06g0271081","Ha412HOChr10g0468831",0.934
