"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ha412HOChr03g0104371","GO:0010336","gibberellic acid homeostasis",2,1,0,0.0011,"BP",2.95860731484178
"Ha412HOChr03g0104371","GO:0048579","negative regulation of long-day photoper...",6,1,0,0.0034,"BP",2.46852108295775
"Ha412HOChr03g0104371","GO:0009690","cytokinin metabolic process",14,1,0.01,0.0078,"BP",2.10790539730952
"Ha412HOChr03g0104371","GO:0035335","peptidyl-tyrosine dephosphorylation",36,1,0.02,0.02,"BP",1.69897000433602
"Ha412HOChr03g0104371","GO:0018108","peptidyl-tyrosine phosphorylation",64,1,0.04,0.0354,"BP",1.45099673797421
"Ha412HOChr04g0145741","GO:0001678","intracellular glucose homeostasis",14,1,0.01,0.0059,"BP",2.22914798835786
"Ha412HOChr04g0145741","GO:0000290","deadenylation-dependent decapping of nuc...",14,1,0.01,0.0059,"BP",2.22914798835786
"Ha412HOChr04g0145741","GO:0046835","carbohydrate phosphorylation",37,1,0.02,0.0155,"BP",1.80966830182971
"Ha412HOChr04g0145741","GO:0006096","glycolytic process",95,1,0.04,0.0394,"BP",1.40450377817443
"Ha412HOChr05g0240361","GO:0080153","negative regulation of reductive pentose...",2,1,0,0.00056,"BP",3.2518119729938
"Ha412HOChr05g0240361","GO:0006306","DNA methylation",26,1,0.01,0.00728,"BP",2.13786862068696
"Ha412HOChr05g0240361","GO:0030422","siRNA processing",26,1,0.01,0.00728,"BP",2.13786862068696
"Ha412HOChr05g0240361","GO:0006997","nucleus organization",37,1,0.01,0.01035,"BP",1.98505965020706
"Ha412HOChr05g0240361","GO:0006458","'de novo' protein folding",41,1,0.01,0.01146,"BP",1.94081538236863
"Ha412HOChr05g0240361","GO:0042026","protein refolding",42,1,0.01,0.01174,"BP",1.9303319030884
"Ha412HOChr05g0240361","GO:0050832","defense response to fungus",74,1,0.02,0.02062,"BP",1.6857113390525
"Ha412HOChr05g0240361","GO:0007005","mitochondrion organization",143,1,0.04,0.03955,"BP",1.4028535121663
"Ha412HOChr06g0271081","GO:0045836","positive regulation of meiotic nuclear d...",2,1,0,0.0018,"BP",2.74472749489669
"Ha412HOChr06g0271081","GO:0080143","regulation of amino acid export",6,1,0.01,0.0055,"BP",2.25963731050576
"Ha412HOChr06g0271081","GO:0015969","guanosine tetraphosphate metabolic proce...",7,1,0.01,0.0064,"BP",2.19382002601611
"Ha412HOChr06g0271081","GO:0051560","mitochondrial calcium ion homeostasis",7,1,0.01,0.0064,"BP",2.19382002601611
"Ha412HOChr06g0271081","GO:0000422","autophagy of mitochondrion",14,1,0.01,0.0127,"BP",1.89619627904404
"Ha412HOChr06g0271081","GO:0000045","autophagosome assembly",23,1,0.02,0.0208,"BP",1.68193666503724
"Ha412HOChr06g0271081","GO:0006635","fatty acid beta-oxidation",30,1,0.03,0.027,"BP",1.56863623584101
"Ha412HOChr06g0271081","GO:0010150","leaf senescence",39,1,0.04,0.035,"BP",1.45593195564972
"Ha412HOChr06g0271081","GO:0006857","oligopeptide transport",42,1,0.04,0.0377,"BP",1.42365864979421
"Ha412HOChr06g0277881","GO:0051300","spindle pole body organization",3,1,0,0.0011,"BP",2.95860731484178
"Ha412HOChr06g0277881","GO:0019722","calcium-mediated signaling",8,1,0,0.0028,"BP",2.55284196865778
"Ha412HOChr06g0277881","GO:0019288","isopentenyl diphosphate biosynthetic pro...",13,1,0,0.0046,"BP",2.33724216831843
"Ha412HOChr06g0277881","GO:0016114","terpenoid biosynthetic process",64,1,0.02,0.0223,"BP",1.65169513695184
"Ha412HOChr06g0277881","GO:0006633","fatty acid biosynthetic process",132,1,0.05,0.0455,"BP",1.34198860334289
"Ha412HOChr09g0427971","GO:0010411","xyloglucan metabolic process",44,2,0.06,0.0019,"BP",2.72124639904717
"Ha412HOChr09g0427971","GO:0050832","defense response to fungus",74,3,0.11,0.0039,"BP",2.4089353929735
"Ha412HOChr09g0427971","GO:0002221","pattern recognition receptor signaling p...",3,1,0,0.0044,"BP",2.35654732351381
"Ha412HOChr09g0427971","GO:1901002","positive regulation of response to salt ...",6,1,0.01,0.0088,"BP",2.05551732784983
"Ha412HOChr09g0427971","GO:1900150","regulation of defense response to fungus",7,1,0.01,0.0103,"BP",1.98716277529483
"Ha412HOChr09g0427971","GO:0046777","protein autophosphorylation",114,2,0.17,0.0121,"BP",1.91721462968355
"Ha412HOChr09g0427971","GO:1900424","regulation of defense response to bacter...",10,1,0.01,0.0146,"BP",1.83564714421556
"Ha412HOChr09g0427971","GO:0042546","cell wall biogenesis",131,2,0.19,0.0157,"BP",1.80410034759077
"Ha412HOChr09g0427971","GO:0010506","regulation of autophagy",12,1,0.02,0.0176,"BP",1.75448733218585
"Ha412HOChr09g0427971","GO:0042538","hyperosmotic salinity response",15,1,0.02,0.0219,"BP",1.65955588515988
"Ha412HOChr09g0427971","GO:0000045","autophagosome assembly",23,1,0.03,0.0334,"BP",1.47625353318844
"Ha412HOChr09g0427971","GO:0010951","negative regulation of endopeptidase act...",25,1,0.04,0.0362,"BP",1.44129142946683
"Ha412HOChr09g0427971","GO:0046470","phosphatidylcholine metabolic process",26,1,0.04,0.0377,"BP",1.42365864979421
"Ha412HOChr11g0486251","GO:0006122","mitochondrial electron transport, ubiqui...",13,1,0,0.0036,"BP",2.44369749923271
"Ha412HOChr11g0486251","GO:0009306","protein secretion",19,1,0.01,0.0053,"BP",2.27572413039921
"Ha412HOChr11g0486251","GO:0000209","protein polyubiquitination",38,1,0.01,0.0106,"BP",1.97469413473523
"Ha412HOChr11g0486251","GO:0006869","lipid transport",105,1,0.03,0.0292,"BP",1.53461714855158
"Ha412HOChr11g0486251","GO:0006633","fatty acid biosynthetic process",132,1,0.04,0.0365,"BP",1.43770713554353
"Ha412HOChr11g0486251","GO:0043161","proteasome-mediated ubiquitin-dependent ...",163,1,0.05,0.045,"BP",1.34678748622466
"Ha412HOChr11g0489761","GO:0031952","regulation of protein autophosphorylatio...",11,1,0,0.0023,"BP",2.63827216398241
"Ha412HOChr11g0489761","GO:0009396","folic acid-containing compound biosynthe...",16,1,0,0.0034,"BP",2.46852108295775
"Ha412HOChr11g0489761","GO:0035999","tetrahydrofolate interconversion",17,1,0,0.0036,"BP",2.44369749923271
"Ha412HOChr11g0489761","GO:0043666","regulation of phosphoprotein phosphatase...",61,1,0.01,0.0128,"BP",1.89279003035213
"Ha412HOChr14g0659771","GO:0006552","leucine catabolic process",3,1,0,0.00063,"BP",3.20065945054642
"Ha412HOChr14g0659771","GO:0046951","ketone body biosynthetic process",3,1,0,0.00063,"BP",3.20065945054642
"Ha412HOChr14g0659771","GO:0042545","cell wall modification",53,1,0.01,0.01112,"BP",1.95389521275396
"Ha412HOChr14g0659771","GO:0045490","pectin catabolic process",74,1,0.02,0.0155,"BP",1.80966830182971
"Ha412HOChr14g0659771","GO:0043086","negative regulation of catalytic activit...",130,1,0.03,0.02713,"BP",1.5665502062384
"Ha412HOChr14g0659771","GO:0010629","negative regulation of gene expression",221,1,0.05,0.04582,"BP",1.33894491514662
"Ha412HOChr15g0708001","GO:0046294","formaldehyde catabolic process",3,1,0,0.00084,"BP",3.07572071393812
"Ha412HOChr15g0708001","GO:0046686","response to cadmium ion",95,1,0.03,0.02641,"BP",1.57823159879308
"Ha412HOChr15g0708001","GO:0006633","fatty acid biosynthetic process",132,1,0.04,0.03655,"BP",1.43711261870612
"Ha412HOChr15g0728141","GO:1901002","positive regulation of response to salt ...",6,1,0,0.0025,"BP",2.60205999132796
"Ha412HOChr15g0728141","GO:0006541","glutamine metabolic process",42,1,0.02,0.0176,"BP",1.75448733218585
"Ha412HOChr15g0728141","GO:0010411","xyloglucan metabolic process",44,1,0.02,0.0184,"BP",1.73518217699046
"Ha412HOChr15g0728141","GO:0050832","defense response to fungus",74,1,0.03,0.0308,"BP",1.51144928349956
"Ha412HOChr15g0728141","GO:0018105","peptidyl-serine phosphorylation",76,1,0.03,0.0316,"BP",1.5003129173816
