"query","sum","numGenes","sum_corrected"
"Ha412HOChr06g0277881",10.842,10,1.0842
"Ha412HOChr11g0489761",9.443,10,0.9443
"Ha412HOChr06g0271081",17.418,20,0.8709
"Ha412HOChr09g0427971",24.842,30,0.828066666666667
"Ha412HOChr15g0708001",6.091,10,0.6091
"Ha412HOChr15g0728141",14.577,10,1.4577
"Ha412HOChr03g0104371",10.685,10,1.0685
"Ha412HOChr05g0240361",16.472,10,1.6472
"Ha412HOChr04g0145741",7.672,10,0.7672
"Ha412HOChr11g0486251",11.013,10,1.1013
"Ha412HOChr16g0780931",11.002,10,1.1002
"Ha412HOChr14g0659771",13.07,10,1.307
"Ha412HOChr16g0792041",5.623,10,0.5623
"Ha412HOChr15g0737211",6.872,10,0.6872
"hubs",12.91,14,0.922142857142857
